institute id,name,state,score,rank,tlr (100),rpc (100),go (100),oi (100),perception (100),scaled_tlr_scores,Cluster
IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,86.69,1,86.45,89.88,87.22,63.59,100.0,2.61588310680147,3
IR-O-U-0220,Indian Institute of Science,Karnataka,83.09,2,82.43,88.45,80.57,59.23,97.94,2.149277225365163,3
IR-O-I-1074,Indian Institute of Technology Delhi,Delhi,82.16,3,82.06,85.23,79.21,70.32,90.98,2.1063309128946566,3
IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,81.28,4,80.71,86.14,84.26,58.76,84.98,1.949634907934702,3
IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,77.23,5,85.45,72.94,83.62,60.24,69.84,2.4998119920163187,3
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",Delhi,72.14,6,76.47,67.75,70.46,72.72,75.23,1.457493381245662,3
IR-O-U-0560,Indian Institute of Technology Roorkee,Uttarakhand,71.66,8,77.69,68.0,83.15,62.8,50.36,1.5991001412835462,3
